词语,全拼音,同形,词类,JLH
土语,tu3yu3,,n,2660
土专家,tu3zhuan1jia1,,n,2661
吐故纳新,tu3gu4na4xin1,,i, 401
兔子,tu4zi5,,n,2662
团,tuan2,,n,2663
团,tuan2,,q, 180
团伙,tuan2huo3,,n,2664
团结,tuan2jie2,,a,1096
团结,tuan2jie2,,v,1646
团体,tuan2ti3,,n,2665
团团,tuan2tuan2,,d, 495
推,tui1,1,v,1647
推,tui1,2,v,1648
推,tui1,3,v,1649
推测,tui1ce4,,v,1650
推陈出新,tui1chen2chu1xin1,,i, 402
推迟,tui1chi2,,v,1651
推动,tui1dong4,,v,1652
推翻,tui1fan1,,v,1653
推广,tui1guang3,,v,1654
推荐,tui1jian4,,v,1655
推举,tui1ju3,,v,1656
推敲,tui1qiao1,,v,1657
推手,tui1shou3,,n,2666
推想,tui1xiang3,,v,1658
推销,tui1xiao1,,v,1659
推销员,tui1xiao1yuan2,,n,2667
推选,tui1xuan3,,v,1660
颓废,tui2fei4,,a,1097
腿,tui3,,n,2668
退,tui4,,v,1661
退还,tui4huan2,,v,1662
退换,tui4huan4,,v,1663
退路,tui4lu4,,n,2669
退缩,tui4suo1,,v,1664
退伍,tui4wu3,,v,1665
退休,tui4xiu1,,v,1666
吞,tun1,,v,1667
吞并,tun1bing4,,v,1668
托付,tuo1fu4,,v,1669
托盘,tuo1pan2,,n,2670
拖把,tuo1ba3,,n,2671
拖拉机,tuo1la1ji1,,n,2672
拖欠,tuo1qian4,,v,1670
拖三拉四,tuo1san1la1si4,,l,  77
拖沓,tuo1ta4,,a,1098
拖拖拉拉,tuo1tuo1la1la1,,z, 159
拖鞋,tuo1xie2,,n,2673
脱离,tuo1li2,,v,1671
脱落,tuo1luo4,,v,1672
脱颖而出,tuo1ying3er2chu1,,i, 403
驼绒,tuo2rong2,,n,2674
妥当,tuo3dang5,,a,1099
妥善,tuo3shan4,,a,1100
妥帖,tuo3tie1,,a,1101
妥协,tuo3xie2,,v,1673
椭圆,tuo3yuan2,,n,2675
唾沫,tuo4mo5,,n,2676
哇,wa1,,o,   9
哇啦,wa1la1,,o,  10
挖,wa1,,v,1674
挖苦,wa1ku5,,v,1675
娃娃,wa2wa5,,n,2677
瓦,wa3,,q, 181
瓦蓝,wa3lan2,,z, 160
瓦片,wa3pian4,,n,2678
袜子,wa4zi5,,n,2679
歪,wai1,,a,1102
歪门邪道,wai1men2xie2dao4,,i, 404
歪歪斜斜,wai1wai1xie2xie2,,z, 161
外,wai4,,f,  57
外边,wai4bian5,,f,  58
外表,wai4biao3,,n,2680
外地,wai4di4,,s,  64
外观,wai4guan1,,n,2681
外国,wai4guo2,,n,2682
外行,wai4hang2,,a,1104
外汇,wai4hui4,,n,2683
外交,wai4jiao1,,n,2684
外壳,wai4ke2,,n,2685
外来,wai4lai2,,b, 138
外貌,wai4mao4,,n,2686
外面,wai4mian5,,f,  59
外人,wai4ren2,,n,2687
外孙,wai4sun1,,n,2688
外套,wai4tao4,,n,2689
外头,wai4tou5,,f,  60
外向,wai4xiang4,,a,1103
外向型,wai4xiang4xing2,,b, 139
外形,wai4xing2,,n,2690
外衣,wai4yi1,,n,2691
外语,wai4yu3,,n,2692
外债,wai4zhai4,,n,2693
外资,wai4zi1,,n,2694
弯,wan1,,a,1105
弯路,wan1lu4,,n,2695
弯曲,wan1qu1,,a,1106
丸子,wan2zi5,,n,2696
完,wan2,,v,1676
完备,wan2bei4,,a,1107
完成,wan2cheng2,,v,1677
完好,wan2hao3,,a,1108
完美,wan2mei3,,a,1109
完美无缺,wan2mei3wu2que1,,i, 405
完善,wan2shan4,,a,1110
完善,wan2shan4,,v,1678
完整,wan2zheng3,,a,1111
玩,wan2,,v,1679
玩具,wan2ju4,,n,2697
顽固,wan2gu4,,a,1112
顽皮,wan2pi2,,a,1113
顽强,wan2qiang2,,a,1114
挽回,wan3hui2,,v,1680
挽留,wan3liu2,,v,1681
晚,wan3,,a,1115
晚报,wan3bao4,,n,2698
晚饭,wan3fan4,,n,2699
晚会,wan3hui4,,n,2700
晚年,wan3nian2,,t, 137
晚期,wan3qi1,,t, 138
晚秋,wan3qiu1,,t, 139
晚上,wan3shang5,,t, 140
晚霞,wan3xia2,,n,2701
婉言,wan3yan2,,d, 496
婉转,wan3zhuan3,,a,1117
婉转,wan3zhuan3,,a,1118
惋惜,wan3xi1,,a,1116
碗,wan3,,n,2702
碗,wan3,,q, 182
万,wan4,,m,  63
万分,wan4fen1,,d, 497
万里长征,wan4li3chang2zheng1,,i, 406
万年,wan4nian2,,m,  64
万千,wan4qian1,,m,  65
万死不辞,wan4si3bu4ci2,,i, 407
万万,wan4wan4,,d, 498
万一,wan4yi1,,c,  68
王国,wang2guo2,,n,2703
王母娘娘,wang2mu3niang2niang5,,l,  78
王牌,wang2pai2,,n,2704
网,wang3,,n,2705
网球,wang3qiu2,,n,2706
往,wang3,,p,  51
往常,wang3chang2,,t, 141
往后,wang3hou4,,t, 142
往年,wang3nian2,,t, 143
往事,wang3shi4,,n,2707
往往,wang3wang3,,d, 499
枉费心机,wang3fei4xin1ji1,,i, 408
忘,wang4,,v,1682
忘掉,wang4diao4,,v,1683
忘记,wang4ji4,,v,1684
旺盛,wang4sheng4,,a,1119
望,wang4,,p,  52
望风而逃,wang4feng1er2tao2,,i, 409
望见,wang4jian5,,v,1685
望子成龙,wang4zi3cheng2long2,,i, 410
危害,wei1hai4,,v,1686
危机,wei1ji1,,n,2708
危急,wei1ji2,,a,1120
危险,wei1xian3,,a,1121
威风,wei1feng1,,a,1122
威力,wei1li4,,n,2709
威望,wei1wang4,,n,2710
威武,wei1wu3,,a,1123
威胁,wei1xie2,,v,1687
威胁利诱,wei1xie2li4you4,,i, 411
威信,wei1xin4,,n,2711
威严,wei1yan2,,a,1124
微,wei1,,h,   6
微薄,wei1bo2,,a,1125
微观,wei1guan1,,n,2712
微量,wei1liang4,,b, 140
微米,wei1mi3,,q, 183
微秒,wei1miao3,,q, 184
微妙,wei1miao4,,a,1126
微弱,wei1ruo4,,a,1127
微微,wei1wei1,,d, 500
微小,wei1xiao3,,a,1128
微型,wei1xing2,,b, 141
巍然,wei1ran2,,d, 501
为,wei2,,v,1688
为,wei2,B,p,  55
为难,wei2nan2,,a,1129
为所欲为,wei2suo3yu4wei2,,i, 413
为止,wei2zhi3,,u,  16
围攻,wei2gong1,,v,1689
围巾,wei2jin1,,n,2713
围棋,wei2qi2,,n,2714
围裙,wei2qun2,,n,2715
帏幕,wei2mu4,,n,2716
违法乱纪,wei2fa3luan4ji4,,i, 414
违抗,wei2kang4,,v,1690
唯,wei2,,d, 502
唯恐,wei2kong3,,v,1691
唯物,wei2wu4,,b, 142
唯物论,wei2wu4lun4,,n,2717
唯心,wei2xin1,,b, 143
唯心论,wei2xin1lun4,,n,2718
惟,wei2,,d, 503
惟独,wei2du2,,d, 504
惟利是图,wei2li4shi4tu2,,i, 415
维持,wei2chi2,,v,1692
维护,wei2hu4,,v,1693
维修,wei2xiu1,,v,1694
伟大,wei3da4,,a,1130
伟人,wei3ren2,,n,2719
伪,wei3,,h,   7
伪劣,wei3lie4,,b, 144
尾巴,wei3ba5,,n,2720
尾声,wei3sheng1,,n,2721
纬度,wei3du4,,n,2722
委曲,wei3qu1,,n,2723
委实,wei3shi2,,d, 505
委托,wei3tuo1,,v,1695
委员,wei3yuan2,,n,2724
为,wei4,A1,p,  53
为,wei4,A2,p,  54
为何,wei4he2,,r,  88
为了,wei4le5,,p,  56
为民除害,wei4min2chu2hai4,,i, 412
为什么,wei4shen2me5,,r,  89
为着,wei4zhe5,,p,  57
卫兵,wei4bing1,,n,2725
卫生,wei4sheng1,,a,1131
卫戍,wei4shu4,,b, 145
卫星,wei4xing1,,n,2726
未,wei4,,d, 506
未必,wei4bi4,,d, 507
未曾,wei4ceng2,,d, 510
未尝,wei4chang2,,d, 508
未来,wei4lai2,,t, 144
未免,wei4mian3,,d, 509
位,wei4,,q, 185
位置,wei4zhi5,,n,2727
味道,wei4dao5,,n,2728
味精,wei4jing1,,n,2729
味觉,wei4jue2,,n,2730
胃,wei4,,n,2731
胃蛋白酶,wei4dan4bai2mei2,,l,  79
谓语,wei4yu3,,n,2732
喂,wei4,,v,1696
慰问,wei4wen4,,v,1697
温存,wen1cun2,,a,1132
温度,wen1du4,,n,2733
温故知新,wen1gu4zhi1xin1,,i, 416
温和,wen1he2,,a,1133
温暖,wen1nuan3,,a,1134
温泉,wen1quan2,,n,2734
温热,wen1re4,,a,1135
温柔,wen1rou2,,a,1136
温水,wen1shui3,,n,2735
温顺,wen1shun4,,a,1137
温馨,wen1xin1,,a,1138
文风,wen2feng1,,n,2736
文革,wen2ge2,,j,  31
文过饰非,wen2guo4shi4fei1,,i, 417
文化,wen2hua4,,n,2737
文件,wen2jian4,,n,2738
文静,wen2jing4,,a,1139
文具,wen2ju4,,n,2739
文科,wen2ke1,,n,2740
文联,wen2lian2,,j,  32
文明,wen2ming2,,a,1140
文明,wen2ming2,,n,2741
文凭,wen2ping2,,n,2742
文物,wen2wu4,,n,2743
文学,wen2xue2,,n,2744
文雅,wen2ya3,,a,1141
文艺,wen2yi4,,n,2745
文章,wen2zhang1,,n,2746
文绉绉,wen2zhou1zhou1,,z, 162
文字,wen2zi4,,n,2747
纹路,wen2lu4,,n,2748
蚊帐,wen2zhang4,,n,2749
紊乱,wen3luan4,,a,1142
稳,wen3,,a,1143
稳步,wen3bu4,,d, 511
稳当,wen3dang5,,a,1144
稳定,wen3ding4,,a,1145
稳固,wen3gu4,,a,1146
稳如泰山,wen3ru2tai4shan1,,i, 418
稳妥,wen3tuo3,,a,1147
稳重,wen3zhong4,,a,1148
问,wen4,,v,1698
问号,wen4hao4,,n,2750
问候,wen4hou4,,v,1699
问题,wen4ti2,,n,2751
问心有愧,wen4xin1you3kui4,,l,  80
嗡嗡,weng1weng1,,o,  11
莴笋,wo1sun3,,n,2752
窝,wo1,,n,2753
窝,wo1,,q, 186
窝囊,wo1nang5,,a,1149
我,wo3,,r,  90
我们,wo3men5,,r,  91
我行我素,wo3xing2wo3su4,,i, 419
卧铺,wo4pu4,,n,2754
卧室,wo4shi4,,n,2755
握,wo4,,v,1700
握手,wo4shou3,,v,1701
龌龊,wo4chuo4,,a,1150
乌烟瘴气,wu1yan1zhang4qi4,,i, 420
污点,wu1dian3,,n,2756
污垢,wu1gou4,,n,2757
污蔑,wu1mie4,,v,1702
污染,wu1ran3,,v,1703
污辱,wu1ru3,,v,1704
污水,wu1shui3,,n,2758
屋,wu1,,n,2759
诬蔑,wu1mie4,,v,1705
无不,wu2bu4,,d, 512
无偿,wu2chang2,,d, 513
无处,wu2chu4,,d, 514
无党派,wu2dang3pai4,,n,2760
无的放矢,wu2di4fang4shi3,,i, 421
无非,wu2fei1,,d, 515
无故,wu2gu4,,d, 516
无怪,wu2guai4,,d, 517
无关痛痒,wu2guan1tong4yang3,,i, 422
无轨,wu2gui3,,b, 146
无机,wu2ji1,,b, 147
无价之宝,wu2jia4zhi1bao3,,i, 423
无可奈何,wu2ke3nai4he2,,i, 424
无赖,wu2lai4,,n,2761
无聊,wu2liao2,,a,1151
无论,wu2lun4,,c,  69
无名,wu2ming2,,b, 148
无奈,wu2nai4,,d, 518
无奈何,wu2nai4he2,,l,  81
无期,wu2qi1,,b, 149
无情,wu2qing2,,a,1152
无穷无尽,wu2qiong2wu2jin4,,i, 425
无事生非,wu2shi4sheng1fei1,,i, 426
无视,wu2shi4,,v,1706
无数,wu2shu4,,m,  66
无私,wu2si1,,d, 519
无所畏惧,wu2suo3wei4ju4,,i, 427
无所谓,wu2suo3wei4,,l,  82
无微不至,wu2wei1bu4zhi4,,i, 428
无暇,wu2xia2,,d, 520
无线,wu2xian4,,b, 150
无须,wu2xu1,,d, 521
无烟,wu2yan1,,b, 151
无疑,wu2yi2,,d, 522
无知,wu2zhi1,,a,1153
无足轻重,wu2zu2qing1zhong4,,i, 429
毋庸,wu2yong1,,d, 523
梧桐,wu2tong2,,n,2762
蜈蚣,wu2gong1,,n,2763
五,wu3,,m,  67
五彩,wu3cai3,,b, 152
五大三粗,wu3da4san1cu1,,l,  83
五官,wu3guan1,,n,2764
五金,wu3jin1,,b, 153
五一,wu3yi1,,t, 145
五月,wu3yue4,,t, 146
午饭,wu3fan4,,n,2765
午后,wu3hou4,,t, 147
午间,wu3jian1,,t, 148
妩媚,wu3mei4,,a,1154
武断,wu3duan4,,a,1155
武功,wu3gong1,,n,2766
武警,wu3jing3,,n,2767
武力,wu3li4,,n,2768
武庙,wu3miao4,,n,2769
武器,wu3qi4,,n,2770
武术,wu3shu4,,n,2771
武装,wu3zhuang1,,n,2772
舞,wu3,,n,2773
舞场,wu3chang3,,n,2774
舞蹈,wu3dao3,,n,2775
舞会,wu3hui4,,n,2776
舞文弄墨,wu3wen2nong4mo4,,i, 430
舞星,wu3xing1,,n,2777
勿,wu4,,d, 524
务必,wu4bi4,,d, 525
务期,wu4qi1,,d, 526
务求,wu4qiu2,,v,1707
务须,wu4xu1,,d, 527
物,wu4,,g,  15
物价,wu4jia4,,n,2778
物理,wu4li3,,n,2779
物品,wu4pin3,,n,2780
物质,wu4zhi4,,n,2781
物资,wu4zi1,,n,2782
误差,wu4cha1,,n,2783
误传,wu4chuan2,,v,1708
误会,wu4hui4,,n,2784
误会,wu4hui4,,v,1709
误解,wu4jie3,,v,1710
雾蒙蒙,wu4meng1meng1,,z, 163
夕阳,xi1yang2,,n,2785
西,xi1,,f,  61
西北,xi1bei3,,f,  62
西边,xi1bian5,,f,  63
西部,xi1bu4,,f,  64
西餐,xi1can1,,n,2786
西方,xi1fang1,,f,  65
西服,xi1fu2,,n,2787
西瓜,xi1gua1,1,n,2788
西瓜,xi1gua1,2,n,2789
西面,xi1mian4,,f,  66
西南,xi1nan2,,f,  67
西式,xi1shi4,,b, 154
西头,xi1tou5,,f,  68
西药,xi1yao4,,n,2790
西装,xi1zhuang1,,n,2791
吸,xi1,,v,1711
吸收,xi1shou1,,v,1712
吸引,xi1yin3,,v,1713
希罕,xi1han5,,a,1156
希望,xi1wang4,,v,1714
昔日,xi1ri4,,t, 149
息息相关,xi1xi1xiang1guan1,,i, 431
悉心,xi1xin1,,d, 528
稀,xi1,,a,1157
稀薄,xi1bo2,,a,1158
稀饭,xi1fan4,,n,2792
稀罕,xi1han5,,a,1159
稀客,xi1ke4,,n,2793
稀里糊涂,xi1li5hu2tu2,,z, 164
稀奇,xi1qi2,,a,1160
稀疏,xi1shu1,,a,1161
稀稀拉拉,xi1xi5la1la1,,z, 165
锡纸,xi1zhi3,,n,2794
蟋蟀,xi1shuai4,,n,2795
习惯,xi2guan4,,n,2796
习惯,xi2guan4,,v,1715
习俗,xi2su2,,n,2797
习题,xi2ti2,,n,2798
袭击,xi2ji1,,v,1716
媳妇,xi2fu4,,n,2799
洗,xi3,,v,1717
洗澡,xi3zao3,,v,1718
喜爱,xi3ai4,,v,1719
喜欢,xi3huan5,1,v,1720
喜欢,xi3huan5,2,v,1721
喜剧,xi3ju4,,n,2800
喜气洋洋,xi3qi4yang2yang2,,i, 432
喜鹊,xi3que4,,n,2801
喜人,xi3ren2,,a,1162
喜讯,xi3xun4,,n,2802
喜洋洋,xi3yang2yang2,,z, 166
喜悦,xi3yue4,,a,1163
戏,xi4,,n,2803
戏剧,xi4ju4,,n,2804
戏曲,xi4qu3,,n,2805
系列,xi4lie4,,n,2806
系统,xi4tong3,,n,2807
细,xi4,,a,1164
细胞,xi4bao1,,n,2808
细高,xi4gao1,,z, 167
细节,xi4jie2,,n,2809
细菌,xi4jun1,,n,2810
细密,xi4mi4,,a,1165
细腻,xi4ni4,,a,1166
细弱,xi4ruo4,,a,1167
细水长流,xi4shui3chang2liu2,,i, 433
细条条,xi4tiao5tiao5,,z, 168
细微,xi4wei1,,a,1168
细小,xi4xiao3,,a,1169
细心,xi4xin1,,a,1170
细致,xi4zhi4,,a,1171
虾,xia1,,n,2811
虾米,xia1mi5,,n,2812
虾仁,xia1ren2,,n,2813
瞎,xia1,,d, 529
狭隘,xia2ai4,,a,1172
狭小,xia2xiao3,,a,1173
狭窄,xia2zhai3,,a,1174
瑕疵,xia2ci1,,n,2814
下,xia4,,f,  69
下,xia4,1,q, 187
下,xia4,2,q, 188
下巴,xia4ba5,,n,2815
下边,xia4bian5,,f,  70
下不为例,xia4bu4wei2li4,,i, 434
下层,xia4ceng2,,f,  71
下场,xia4chang3,,n,2816
下等,xia4deng3,,b, 155
下方,xia4fang1,,f,  72
下狠心,xia4hen3xin1,,l,  84
下级,xia4ji2,,n,2817
下贱,xia4jian4,,a,1175
下降,xia4jiang4,,v,1722
下脚料,xia4jiao3liao4,,n,2818
下流,xia4liu2,,a,1176
下面,xia4mian5,,f,  73
下去,xia4qu4,,v,1723
下水道,xia4shui3dao4,,n,2819
下午,xia4wu3,,t, 150
下旬,xia4xun2,,t, 151
吓唬,xia4hu5,,v,1724
吓人,xia4ren2,,a,1177
夏季,xia4ji4,,t, 152
夏令营,xia4ling4ying2,,n,2820
夏天,xia4tian1,,t, 153
夏至,xia4zhi4,,t, 154
仙女,xian1nv3,,n,2821
先,xian1,,d, 530
先辈,xian1bei4,,n,2822
先锋,xian1feng1,,n,2823
先后,xian1hou4,,d, 531
先进,xian1jin4,,a,1178
先例,xian1li4,,n,2824
先期,xian1qi1,,d, 532
先前,xian1qian2,,t, 155
先生,xian1sheng5,,n,2825
先是,xian1shi4,,d, 533
先斩后奏,xian1zhan3hou4zou4,,i, 435
纤巧,xian1qiao3,,a, 848
纤弱,xian1ruo4,,a, 849
纤维,xian1wei2,,n,2826
纤细,xian1xi4,,a, 850
掀起,xian1qi3,,v,1725
鲜,xian1,,a,1179
鲜花,xian1hua1,,n,2827
鲜美,xian1mei3,,a,1180
鲜明,xian1ming2,,a,1181
鲜嫩,xian1nen4,,a,1182
鲜艳,xian1yan4,,a,1183
闲,xian2,,a,1184
闲话,xian2hua4,,n,2828
闲散,xian2san3,,a,1185
闲事,xian2shi4,,n,2829
贤惠,xian2hui4,,a,1186
贤淑,xian2shu1,,a,1187
咸,xian2,,a,1188
咸乎乎,xian2hu1hu1,,z, 169
嫌,xian2,,v,1726
嫌弃,xian2qi4,,v,1727
嫌疑,xian2yi2,,n,2830
显得,xian3de5,,v,1728
显赫,xian3he4,,a,1189
显示,xian3shi4,,v,1729
显微镜,xian3wei1jing4,,n,2831
显眼,xian3yan3,,a,1190
显要,xian3yao4,,a,1191
显著,xian3zhu4,,a,1192
险恶,xian3e4,,a,1193
险峻,xian3jun4,,a,1194
险滩,xian3tan1,,n,2832
险些,xian3xie1,,d, 534
险要,xian3yao4,,a,1195
县,xian4,,n,2833
现,xian4,,d, 535
现场会,xian4chang3hui4,,n,2834
现代,xian4dai4,,t, 156
现阶段,xian4jie1duan4,,t, 157
现今,xian4jin1,,t, 158
现金,xian4jin1,,n,2835
现任,xian4ren4,,b, 156
现时,xian4shi2,,t, 159
现实,xian4shi2,,a,1196
现实,xian4shi2,,n,2836
现象,xian4xiang4,,n,2837
现行,xian4xing2,,b, 157
现役,xian4yi4,,b, 158
现在,xian4zai4,,t, 160
现状,xian4zhuang4,,n,2838
线,xian4,,n,2839
线,xian4,,q, 189
线段,xian4duan4,,n,2840
线路,xian4lu4,,n,2841
线索,xian4suo3,,n,2842
限制,xian4zhi4,,v,1730
宪法,xian4fa3,,n,2843
陷害,xian4hai4,,v,1731
陷阱,xian4jing3,,n,2844
陷入,xian4ru4,,v,1732
羡慕,xian4mu4,,v,1733
献给,xian4gei3,,v,1734
献身,xian4shen1,,v,1735
乡,xiang1,,n,2845
乡村,xiang1cun1,,n,2846
乡下,xiang1xia4,,s,  65
相持不下,xiang1chi2bu4xia4,,i, 436
相当,xiang1dang1,,d, 536
相对,xiang1dui4,,d, 537
相反,xiang1fan3,,v,1736
相隔,xiang1ge2,,v,1737
相互,xiang1hu4,,d, 538
相继,xiang1ji4,,d, 539
相近,xiang1jin4,,a,1197
相识,xiang1shi2,,v,1738
相似,xiang1si4,,a,1198
相提并论,xiang1ti2bing4lun4,,i, 437
相像,xiang1xiang4,,a,1199
相信,xiang1xin4,,v,1739
香,xiang1,,a,1200
香肠,xiang1chang2,,n,2850
香菇,xiang1gu1,,n,2851
香喷喷,xiang1pen1pen1,,z, 170
香水,xiang1shui3,,n,2852
香甜,xiang1tian2,,a,1201
香烟,xiang1yan1,,n,2853
香皂,xiang1zao4,,n,2854
箱,xiang1,,q, 190
箱子,xiang1zi5,,n,2855
详尽,xiang2jin4,,a,1202
详情,xiang2qing2,,n,2856
详实,xiang2shi2,,a,1203
详细,xiang2xi4,,a,1204
祥和,xiang2he2,,a,1205
享受,xiang3shou4,,v,1740
响,xiang3,,a,1206
响当当,xiang3dang1dang1,,z, 171
响亮,xiang3liang4,,a,1207
响声,xiang3sheng1,,n,2857
想,xiang3,1,v,1741
想,xiang3,2,v,1742
想,xiang3,3,v,1743
想,xiang3,4,v,1744
想不到,xiang3bu5dao4,,l,  85
想得开,xiang3de5kai1,,l,  86
想法,xiang3fa5,,n,2858
想方设法,xiang3fang1she4fa3,,i, 438
想念,xiang3nian4,,v,1745
想像,xiang3xiang4,,v,1746
相册,xiang4ce4,,n,2847
相貌,xiang4mao4,,n,2848
相声,xiang4sheng5,,n,2849
向,xiang4,,p,  58
向导,xiang4dao3,,n,2859
向来,xiang4lai2,,d, 540
向往,xiang4wang3,,v,1747
向着,xiang4zhe5,,p,  59
项,xiang4,,q, 191
项链,xiang4lian4,,n,2860
象棋,xiang4qi2,,n,2861
象牙,xiang4ya2,,n,2862
象征,xiang4zheng1,,v,1748
像,xiang4,,p,  60
像,xiang4,,v,1749
像样,xiang4yang4,,a,1208
橡胶,xiang4jiao1,,n,2863
橡皮,xiang4pi2,,n,2864
消沉,xiao1chen2,,a,1209
消防,xiao1fang2,,b, 159
消耗,xiao1hao4,,v,1751
消极,xiao1ji2,,a,1210
消灭,xiao1mie4,,v,1752
消失,xiao1shi1,,v,1753
消瘦,xiao1shou4,,a,1211
消息,xiao1xi5,,n,2865
萧条,xiao1tiao2,,a,1212
硝酸,xiao1suan1,,n,2866
销量,xiao1liang4,,n,2867
销路,xiao1lu4,,n,2868
销声匿迹,xiao1sheng1ni4ji1,,i, 439
潇洒,xiao1sa3,,a,1213
嚣张,xiao1zhang1,,a,1214
小,xiao3,,a,1215
小,xiao3,,h,   8
小报,xiao3bao4,,n,2869
小不点儿,xiao3bu5dianr3,,n,2870
小吃,xiao3chi1,,n,2871
小费,xiao3fei4,,n,2872
小孩,xiao3hai2,,n,2873
小伙子,xiao3huo3zi5,,n,2874
小结,xiao3jie2,,n,2875
小姐,xiao3jie5,,n,2876
小卖部,xiao3mai4bu4,,n,2877
小米,xiao3mi3,,n,2878
小品,xiao3pin3,,n,2879
小气,xiao3qi5,,a,1216
小人,xiao3ren2,,n,2880
小时,xiao3shi2,,n,2881
小说,xiao3shuo1,,n,2882
小题大做,xiao3ti2da4zuo4,,i, 440
小偷,xiao3tou1,,n,2883
小心,xiao3xin1,,a,1217
小型,xiao3xing2,,b, 160
小学,xiao3xue2,,n,2884
小篆,xiao3zhuan4,,n,2885
小组,xiao3zu3,,n,2886
效果,xiao4guo3,,n,2887
效率,xiao4lv4,,n,2888
效益,xiao4yi4,,n,2889
校风,xiao4feng1,,n,2890
校徽,xiao4hui1,,n,2891
校外,xiao4wai4,,s,  66
校友,xiao4you3,,n,2892
校园,xiao4yuan2,,n,2893
笑,xiao4,1,v,1755
笑,xiao4,2,v,1756
笑话,xiao4hua5,,n,2894
笑眯眯,xiao4mi1mi1,,z, 172
笑容,xiao4rong2,,n,2895
笑嘻嘻,xiao4xi1xi1,,z, 173
笑盈盈,xiao4ying2ying2,,z, 174
些,xie1,,q, 192
协会,xie2hui4,,n,2896
协力,xie2li4,,d, 541
协商,xie2shang1,,v,1758
协调,xie2tiao2,,a,1218
协调,xie2tiao2,,v,1757
协议书,xie2yi4shu1,,n,2897
协助,xie2zhu4,,v,1759
邪,xie2,,a,1219
邪恶,xie2e4,,a,1220
邪路,xie2lu4,,n,2898
邪门歪道,xie2men2wai1dao4,,l,  87
斜,xie2,,a,1221
斜线,xie2xian4,,n,2899
携带,xie2dai4,,v,1760
鞋,xie2,,n,2900
鞋油,xie2you2,,n,2901
写,xie3,1,v,1761
写,xie3,2,v,1762
写法,xie3fa3,,n,2902
写字台,xie3zi4tai2,,n,2903
写作,xie3zuo4,,v,1763
血淋淋,xie3lin1lin1,,z, 181
泄露,xie4lou4,,v,1764
卸,xie4,,v,1765
谢,xie4,1,v,1766
谢,xie4,2,v,1767
谢绝,xie4jue2,,v,1768
懈怠,xie4dai4,,a,1222
心,xin1,,n,2904
心得,xin1de2,,n,2905
心甘情愿,xin1gan1qing2yuan4,,i, 441
心惊胆颤,xin1jing1dan3chan4,,i, 442
心理,xin1li3,,n,2906
心里,xin1li5,,s,  67
心灵,xin1ling2,,n,2907
心领神会,xin1ling3shen2hui4,,i, 443
心情,xin1qing2,,n,2908
心事,xin1shi4,,n,2909
心事重重,xin1shi4chong2chong2,,i, 444
心思,xin1si5,,n,2910
心头,xin1tou2,,s,  68
心胸,xin1xiong1,,n,2911
心虚,xin1xu1,,a,1223
心意,xin1yi4,,n,2912
心脏,xin1zang4,,n,2913
心中,xin1zhong1,,s,  69
心中有鬼,xin1zhong1you3gui3,,l,  88
辛苦,xin1ku3,,a,1224
辛劳,xin1lao2,,a,1225
辛勤,xin1qin2,,a,1226
辛酸,xin1suan1,,a,1227
欣然,xin1ran2,,d, 542
欣赏,xin1shang3,1,v,1769
欣赏,xin1shang3,2,v,1770
欣慰,xin1wei4,,a,1228
欣喜,xin1xi3,,a,1229
欣欣向荣,xin1xin1xiang4rong2,,i, 445
新,xin1,,a,1230
新潮,xin1chao2,,n,2914
新房,xin1fang2,,n,2915
新近,xin1jin4,,d, 543
新年,xin1nian2,,t, 161
新奇,xin1qi2,,a,1231
新闻,xin1wen2,,n,2916
新鲜,xin1xian1,,a,1232
新兴,xin1xing1,,b, 161
新型,xin1xing2,,b, 162
新秀,xin1xiu4,,n,2917
新颖,xin1ying3,,a,1233
薪水,xin1shui3,,n,2918
信,xin4,,n,2919
信,xin4,1,v,1771
信,xin4,2,v,1772
信封,xin4feng1,,n,2920
信号,xin4hao4,,n,2921
信件,xin4jian4,,n,2922
信口开河,xin4kou3kai1he2,,i, 446
信念,xin4nian4,,n,2923
信任,xin4ren4,,v,1773
信手,xin4shou3,,d, 544
信托,xin4tuo1,,b, 163
信息,xin4xi1,,n,2924
信心,xin4xin1,,n,2925
信用,xin4yong4,,n,2926
信誉,xin4yu4,,n,2927
信纸,xin4zhi3,,n,2928
兴办,xing1ban4,,v,1774
兴奋,xing1fen4,,a,1234
兴风作浪,xing1feng1zuo4lang4,,i, 447
兴建,xing1jian4,,v,1775
兴隆,xing1long2,,a,1235
兴起,xing1qi3,,v,1776
兴盛,xing1sheng4,,a,1236
兴旺,xing1wang4,,a,1237
兴许,xing1xu3,,d, 545
星,xing1,,n,2930
星期,xing1qi1,,n,2931
星期一,xing1qi1yi1,,t, 162
星球,xing1qiu2,,n,2932
刑法,xing2fa3,,n,2933
行程,xing2cheng2,,n,2934
行动,xing2dong4,,n,2935
行将,xing2jiang1,,d, 546
行李,xing2li5,,n,2937
行为,xing2wei2,,n,2939
行踪,xing2zong1,,n,2941
形式,xing2shi4,,n,2942
形式逻辑,xing2shi4luo2ji2,,l,  89
形势,xing2shi4,,n,2943
形象,xing2xiang4,,n,2944
形影不离,xing2ying3bu4li2,,i, 449
型号,xing2hao4,,n,2945
醒,xing3,,v,1777
醒目,xing3mu4,,a,1238
兴冲冲,xing4chong1chong1,,z, 175
